Indo-European Lexicon
Pokorny Master PIE Etyma
The table below lists Proto-Indo-European (PIE) etyma adapted from Julius Pokorny's book, Indogermanisches etymologisches Wörterbuch (Bern: Francke, 1959, 1989). Entry head-words are listed, with their page numbers and cross-references to other entries (following Pokorny) plus our own English glosses; for more information, the reader is referred to the book. Some misprints in Pokorny have been corrected, including repairs to diacritics and missing, incorrect, or extraneous homograph numbers.

In our table, cross-references under "See also" may include IE links to our own lists of more modern Indo-European reflexes -- words derived from the ancient Proto-Indo-European etyma. IE reflex lists are under active construction (see our IE Lexicon home page): they are subject to change at any time, and might possibly exhibit errors not yet corrected. See our Language Index page for links from reflexes (listed by IE language) to their PIE etyma.

Pokorny head-word entries with page numbers, cross-references, and English glosses
Page(s)	Pokorny entry	See also	English gloss
582	k̑erə-, k̑rā-	IE    k̑rā-	to cook
582	kerm-		to rest, tire
582	kerno-		jaw, chin(bone)
582	k̑ē-ro-	2. k̑ei-	colorful (or a color term)
583	kers-	IE    1. k̑er(s)-	black, dirty; dark color
583	1 k̑er(s)-	IE    4. kel-	bristle, stiff hair
583-84	2 k̑ers-	IE   	to run, course
584-85	kert-, kerət-, krāt-	IE    krāt-	to roll, turn, wind
585-86	kes-	IE    ks-en-	to comb, itch, scratch
586	k̑es-	IE   	to cut
586-87	kē̆t-, kot-	IE   	room, dwelling place
587-88	1 keu-, skeu-, lengthened grade kēu-	IE    4. (s)keu-	to see, hear, observe, hearken, attend to
588-92	2 keu-, keu̯ə-	IE    kau-l-	to bend
592-94	1 k̑eu-, k̑eu̯ə- : k̑ū-, k̑u̯ā-	IE   	to swell
594-95	2 k̑eu-	IE   	to shine, be bright
595	1 k̑ēu- : k̑ū-		to sway, totter
595	2 k̑ēu- : k̑əu-, k̑ū-	IE   	to burn, light (a fire)
595	k̑eub-		thorn
595-96	keuəd-, kū̆d-	1. skeud-	to cry, shout
596-97	keu̯əp- : ku̯ēp-, ku̯əp-, kū̆p-, and occasionally keu̯(e)p-, k(e)u̯ep-	IE   	to boil, cook, smoke
597	k̑ēu̯ero-, k̑ōu̯ero-, also sk̑ūro-?	IE   	north (wind)
597	k̑euk-	IE   	to glow, shine, be bright white
597	k̑euk̑-, k̑uk̑-		to whirl, mix together
598	kik-		jay (bird)
598	1 k̑ik-	IE   	belt, strap, thong
598	2 k̑ī̆k-		to rain, drizzle
598	k̑ik̑er-		pea
598	k̑īō̆n-, k̑īsō̆n-?		pillar
598	k̑iph-		thin flexible twig/root
599	kistā		basket, plaited container
599	klā-	IE   	to lade, place, heap up, lay down
599	klādhrā		alder (tree)
599	klau-		to weep
599-600	klēg-, klōg-, kləg-, klang-, kleg-, klōg-, kleig-, kleik-	IE   	to cry, shout, scream
600-2	k̑lei-	IE    2. k̑el-	to lean, incline, tip (over)
602	kleik̑-		to press/squeeze (painfully)
602-3	klem-, klēm-, klem-		weak, slack, feeble, ailing
603	kleng-, and klenk-	IE   	to bend, wind
603	kleno-		maple (tree)
603	klep-	2. k̑leu-	wet, damp
604	k̑lep-, sk̑lep-?	IE    4. k̑el-	to steal, cover, secrete
604	klēp-		to hold in arms and/or lap
604-5	klēu-, also klĕu-?, and klāu-	IE   	hook, crook
605-7	1 k̑leu-, k̑leu̯ə- : k̑lū-	IE   	to hear, listen
607	2 k̑leu- : *k̑lō[u]- : k̑lū-	IE    sk̑lēk-	to clean, rinse, swill
607-8	k̑lou-ni-		hip, buttock
608	knei-gu̯h-, knei-b-	IE   	to bow, kneel
608	kneug-		(onomatopoeic: to growl, whimper)
608	knid-, k̑nid-, sknid-		nit, louse
609-10	k̑o-, k̑e-, with the particle k̑e, k̑(e)i-, k̑(i)i̯o-	IE    k̑e-	this; here
610	kob-	IE   	to fit, fare well, be happy/successful
610	koi-, ku̯ī-		(creaking noise)
610	koi-lo-		naked; miserable
610	k̑oi-no-		grass
611	kois-	IE   	to cure, worry, care for
611	ko ko, kak(k)-, ku(r)kur-		(onomatopoeic: sound of cock/hen)
611	kok̑sā	IE   	body part: foot, coxa, etc.
611-12	kolə- : klō-	IE    4. (s)kel-	to spin
612	k̑oləmo-s, k̑oləmā	IE    3. k̑el-	reed, stalk, stem, culm
612	kol(ē̆)i̯-	IE   	glue
612	koli-	5. (s)ku̯el-	young dog/animal
612-13	kom	IE   	at, by, cum, with, alongside
613-14	konəmo-, knāmo-, or kenəmo-	IE   	shinbone
614	k̑onk-	IE   	to doubt, vacillate
614	k̑onkho-	IE   	conch, clam(shell), mussel
614	k̑op(h)elo-s, or k̑ap(h)elo-s		(type of carp)
614-15	kopso-		blackbird
615	k̑orkā		grit, gravel
615	k̑ormen-	6. ker-	weasel
615	k̑ormno-, k̑r̥mno-		corrosive liquid: lye, wine, urine, etc.
615	k̑ormo-	IE   	harm, pain, torment, suffering
615-16	koro-s, kori̯o-s	IE    1. kar-	war, army, warrior
616	kos(e)lo-	IE   	hazel (tree)
616	kost-	IE   	leg, bone, costa
616	k̑rā̆po-, k̑rō̆po-?	IE   	roof
616	k̑rā-	k̑erə-	to cook, mix
616	krāt-	kert-	to roll, turn, wind
616-17	krā[u]- : krəu- : krū̆-	IE   	to heap up, pile together; heap; roof
617	k̑re-, k̑rei-, k̑r̥̄-	kreb-	(hoarse sound)
617	k̑rē-	4. k̑er-	to harm, injure; ruined, spoiled
617	kreb-	2. kreg-	(hoarse sound)
617	k̑rebh-, k̑rō̆bh-, k̑rembh-		to entrust
617-18	kred-	IE   	beams
618	k̑red-	k̑ered-	heart
618	1 kreg-, and kerg-?		to torment
618	2 kreg-	2. krei-	(hoarse sound)
618	1 krei-	IE   	to brush, stroke, touch
618	2 krei-, kreig-, kreik-	3. krek-	(hoarse sound)
618	k̑rei-	IE   	to appear, show forth
618-19	1 krek-	IE   	to hit
619	2 krek-, kr̥k-	IE   	roe, fish/frog spawn
619	3 krek-	2. krep-	(hoarse sound)
619	4 krē̆k- : krok-		to tower, jut out; beams
619	krem-	kerem-	onion or garlic; ash (tree)
620	1 krep-, kr̥p-	IE   	form; corpse, body
620	2 krep-	4. kreu-	(hoarse sound)
620	1 krēp-		firm, strong
620	2 krēp-	4. (s)ker-	cloth, leather; shoe
620	1 kret-	IE   	to shake
621	2 kret-	IE   	to hit
621-22	1 kreu-, kreuə- : krū-, kreus-, krus-	IE   	raw flesh, thick/clotting blood; ice, crust
622	2 kreu-		to crash, collapse, fall down
622-23	3 kreu-, krou-s-	IE   	to push, hit, break
623	4 kreu-	5. (s)ker-	(hoarse sound)
623	kreup-		scab
623	kreu-t-, kreu-dh-?	IE   	to shake, move visibly
623-24	krom-		lattice, framework, wooden fence, etc.
624	kr(o)k-sko-		arm
624	k̑rūs-		leg, shank, thigh
624	krū̆t-	IE   	breast, belly; vault, protuberance
624	k̑sā-	k̑sē̆-ro-	to burn
625	kseip-, kseib-		to toss, throw
625	ks-en-, ks-es-, ks-eu-	kes-	to comb, itch, scratch
625	k̑sē̆-ro-	IE    k̑sā-	dry, xeric, bright (of weather)
625	kseubh-		to sway, swing, totter
625	kseud-		to grind, stamp to little pieces
626	k̑þei-	IE   	to settle
626	kþē(i)-, kþə(i)-	IE   	to gain, acquire, possess
626	ku-, kus-	IE   	to kiss
626-27	k̑ū-		sharp, pointed; pike, stake
627	k̑ū̆dh-		dirt, dung
627	kuku	IE   	(onomatopoeic: to coo, cuckoo)
627	k̑up-		shoulder
627	ku̯ak-	IE   	(onomatopoeic: to quack, croak)
627-28	ku̯at(h)-	IE   	to ferment, become sour
628	1 k̑u̯ei-, k̑u̯ei-no-		dirt, mud; to defile
628	2 k̑u̯ei-	IE   	to hiss, twitter, whistle, etc.
628-29	3 k̑uei-, extended kuei-d-, kuei-s-, kuei-t-	IE   	to shine; white
629	k̑u̯ek-, nasalized k̑u̯enk- : k̑uk-		to gape
629	k̑u̯el-		muddy
630	ku̯elək-, or kelək-, kolək-	2. ku̯elp-	bale, bundle
630	1 ku̯elp-, ku̯elb- : ku̯l̥p/b- : klup/b-	IE   	to stumble, buckle at the knees; to trot
630	2 ku̯elp-	IE    ku̯elək-	to curve, vault
630	k̑u̯en-	IE   	to celebrate; saint
631	k̑u̯endh-ro-, -no-		(type of plant)
631	ku̯erp-, also ku̯erb-	IE   	to turn, wind
631-32	k̑u̯es-, k̑us-	IE   	to pant, puff, sigh, wheeze
632	ku̯ēt-, ku̯ət- : kū̆t-	IE    (s)kū̆t-	to shake, winnow
632	ku̯oi-, ku̯ī-		to want, wish for
632-33	k̑u̯on-, k̑un-	IE   	hound, dog
633	ku̯res-, ku̯ers-, ku̯r̥s-		small wood, trees
634	kha kha		(laughter)
635	ku̯alo-s	(s)ku̯alo-s	(big fish)
635	ku̯as-i̯o-, -lo-		basket, plaited work
635-36	1 ku̯e	IE    ku̯ene	(enclitic) and
636	2 ku̯e-	ku̯o-	(indefinite/interrogative pronoun)
636	ku̯ē̆d-, ku̯ō̆d-	IE   	to bore, drill, prick, stab
636-37	1 ku̯ei(-t)-	IE   	to observe with respect, pay attention to
637-38	2 ku̯ei-	IE   	to stow, gather, pile up
638	ku̯ei̯ə-, ku̯ii̯ē-	IE   	to rest comfortably; quiet, peaceful, tranquil
638-39	ku̯ek̑-, ku̯ōk̑-, ku̯ek̑-s-	IE   	to see, show, appear
639-40	1 ku̯el-, ku̯elə-	IE   	to turn; wheel; neck?
640	2 ku̯el-	IE   	far away
640	3 ku̯el-	IE   	crowd, herd, swarm
640-41	ku̯em-		to gulp, sip, swallow
641	ku̯ene	1. ku̯e	(particle: uncertainty, generalization)
641	ku̯enth-	IE   	to suffer, endure
641-42	1 ku̯er-	IE    (s)ku̯er-	to do, make, form
642	2 ku̯er-	IE   	dish, pot
642	ku̯eru-		to chew, grind
642-44	ku̯etu̯er-, ku̯etu̯ō̆r-, ku̯etur- (masc.), ku̯etes(o)r- (fem.)	IE   	four, fourth
644-48	ku̯o-, ku̯e-, fem. ku̯ā, ku̯ei-	IE    2. ku̯e-	(indefinite/interrogative pronoun)
648	ku̯rei-	IE   	to buy
649	ku̯r̥mi-		grub, worm, maggot
649	ku̯sep-		dark
649	ku̯þei-	gu̯hðei(ə)-	to destroy, perish
649	ku̯ās- : ku̯əs-	IE   	to cough
650-51	1 lā-, and lē-	IE    lē-	(onomatopoeic: to bark, howl, etc.)
651	2 lā-	IE   	to be hidden, covered, latent
651	lab-, and labh-, lap(h)-	IE    lak-	to lap, lick, smack (the lips), etc.
652	labh-	IE    rabh-	to grab, hold, seize
652	lā̆gh-	lāgu̯h-	to cut; cutting tool
652	lāgu̯h-	(s)lā̆gu̯-	to grab, seize
652	lai-		fat, lard
652	laidh-, lidh-	IE   	to cut, hurt, injure
652	laiu̯o-	IE   	(on the) left
652-53	lā[i]p-, ləip-, ləp-	IE   	to burn, shine
653	lak-	lab-	to lap, lick
653	lak̑-	IE   	to spot, sprinkle
653	laku-	IE   	(water in) lake, pond, ditch, etc.
653-54	lāmā		swamp, puddle
654	lāp-		cow
654	las-	IE   	greedy, covetous
654-55	lat-	IE   	wet, damp; swamp
655	lāu-	IE   	to acquire (as booty), enjoy something
655	lauk(o)-, ləuk-	(s)leug-	jaw; throat
655	lē-	3. lēu-	(onomatopoeic: to bark, howl, etc.)
655-57	lē̆b-, lō̆b-, lāb-, leb-	IE    (s)leb-	lip; to slump, hang down slackly
657	1 leg-	IE   	to leak, drip, dribble, ooze out
658	2 leg-		to worry
658	leg̑-	IE   	to gather, collect
658-59	legh-	IE    2. lēg̑h-	to lie, recline, set down
660	1 lēg̑(h)- : ləg̑(h)-		branch, twig
660	2 lēg̑h- : ləg̑h-	IE    legh-	to crawl; low
660-61	legu̯h-	IE   	to move easily
661	1 lē̆i-, lek-	2. leik-	to flex, bend
661-62	2 lei-	IE    1. leig-	to dissipate, disappear; thin, weak
662-64	3 lei-	IE    4. lē̆i-	slimy; to slip, glide
664-65	4 lē̆i-	IE    1. lendh-	to pour
665	1 lē[i]- : ləi-	IE   	to want, wish
665	2 lē(i)-	IE    3. lē(i)-	to grant/acquire possession
666	3 lē(i)-	IE    lēs	to weaken, leave behind; feeble
666	leibh-	1. leip-	to smear, stick
666	leid-	IE   	to play, joke
667	1 leig-, and leik-, better oleig-, oleik-	IE    1. leik-	needy, miserable
667	2 lē̆ig-, līg-	IE   	form, appearance; like, similar
667-68	3 leig-, loig-	IE   	to hop, jump, tremble
668	4 leig-, leig̑-	IE   	to tie, bind, ligate
668	leig̑h-, sleig̑h-	IE   	to lick
669	1 leik-	2. leit(h)-	to offer for sale
669	2 leik-	IE    8. el-	to bend
669-70	leiku̯-	IE   	to leave, relinquish
670-71	1 leip-	IE    leibh-	to smear (with fat), stick
671	2 leip-		to desire, request, wish for
671	leis-	IE   	to furrow; learn
672	1 leit-	IE   	to loathe, detest, abhor; violate
672	2 leit(h)-	IE    2. el-	to die, go away
672-73	leizd-, loizd-	IE   	edge, fringe, hem
673	1 lek-? : lok-		to blame, scold, reprove
673	2 lek- : lek-, and lēk- : lək-	IE    r̥ksā	joint, leg, body member; to bend, wind
673-74	1 lēk- : lək-	IE   	tendril; trap
674	2 lēk- : lək-	IE   	to lacerate, tear to pieces
674	1 lem-	IE   	to break, crush to pieces; lame, fragile
675	2 lem-		astonishment (with the notion of wide open jaws)
675	1 lendh-	(s)leidh-	spring (of water), wetness
675	2 lendh-	IE   	hip, loins; kidney
675	3 lendh-	IE   	heath, steppe, open land
676	leng-	lenk-	to sway, bend oneself
676	lengh-		to scold, scorn
676-77	lenk-	IE    leng-	to bend
677	lento-	IE   	lithe, flexible, pliable
677-78	1 lep-		(onomatopoeic root)
678	2 lep-	IE   	to flay, peel, skin
678	3 lep-		rock, stone
679	lēp-, lōp-, ləp-	IE   	flat
679	lerd-		to twist, shrivel up
679	lerg-	lorgā-	even, smooth, slippery
680	les-	IE   	to lease, collect, pick up
680	lēs : ləs-	2. lē(i)-	weak, slack, feeble
680	leto-, lēti-, lēto-, lōto-		heat, burning, anger
680	lēto-, ləto-	IE   	daytime; summer, warm season
681	letro-	IE    3b. pel-	leather
681	1 leu-, *leu̯ə- : lū̆-	IE    2. leu-g-	dirt
681-82	2 leu-	IE    leup-	to free, cut off, separate
682-83	1 lēu-		to leave behind
683	2 lēu- : ləu-	IE   	stone
683	3 lēu-, or lāu-	IE    1. lā-	(onomatopoeic: to bark, howl, etc.)
683-84	leubh-	IE   	to love, like, care for
684	leud-	IE   	to lout, bend over, duck down; bent, little, etc.
684-85	1 leudh-	IE   	to grow up; free; people
685	2 leu-dh-	6. el-	to go, move, drive
685-86	1 leug-	IE   	to bend
686	2 leu-g- : lu-g- : lū-g-	1. leu-	blackish; swamp
686	leug̑-	IE   	to break
686-87	1 leugh-	IE   	to lie, belie, prevaricate
687	2 leugh-, lugh-		oath
687-90	leuk-	IE   	to light, shine; see
690-91	leup-, and leub-, leubh-	IE    2. leu-	to lift, peel, cut/break off, etc.
691	lēut- : lūt-		angry, raging, wrathful
691	lī̆-no-	IE   	flax, linen
691	log̑-		rod, twig
691-92	lorgā-, lorgi-	lerg-	stick, club
692	lou-, lou̯ə-	IE   	to lave, wash
692	lū̆s, genitive luu̯-ós	IE   	louse
693	1 mā-		to beckon, wave (hand); deceive
693	2 mā-	IE   	timely, opportune
694	3 mā	IE    mātér-	ma, mama (nursery words)
694-95	mad-	IE   	to drip; wet; fat, glossy, well-fed
695	magh- : māgh-	IE   	to help, be able; might, power
696	maghos	IE   	maiden, young person
696-97	mag̑-	IE    2. māk-	to knead, press, stroke
697	mag̑h-	IE   	to fight, struggle
697	1 mai-	IE   	to maim, hew, cut with sharp instrument
697	2 mai-, moi-?	IE   	to smudge, stain
698	mak-	IE   	skin, leather bag
698	1 mā̆k-	IE   	wet, damp; to soak
698	2 māk-	IE    men(ə)k-	to knead, press
698	mā̆k(en)-		poppy
699	mak̑o-, or mok̑-o-		fly, gnat
699	māk̑- : mək̑-	IE   	long and slender
699	makh-o-s		bold, wild, frisky, unbridled
699	mand-	mend-	pen/hurdle of plaited rods/twigs
699-700	mā-no-, mā-ni-	IE   	wet, damp
700	manu-s, or monu-s	IE   	man, human being
700	marko-	IE   	mare, horse
700	1 math-, or moth-	IE   	moth, harmful insect
700	2 mat-	IE   	club, hoe, mattock
700-1	mātér-	IE    3. mā	mother
701	mau-ro-		tired, weak; dark
701-2	mazdo-s	IE   	mast, pole
702	1 me-	IE    eg̑-	me (1st pers. sg. oblique pronoun stem)
702-3	2 me-	IE    medhi-	by, with, amidst, around
703	1 mē-	IE    1. am-	(prohibitive particle: lest, that not)
703	2 mē-, m-e-t-	IE    met-	to mow, reap
703-4	3 mē-, m-e-t-	IE    1. med-	to measure
704	4 mē-, mō-	IE   	big, important
704-5	5 mē-, mō-, mə-	IE   	to be intent; of strong will
705-6	1 med-	IE    mēnōt	to mete, allot; medicate, give advice
706	2 med-	IE   	to swell
706-7	medhi-, medhi̯o-	IE    2. me-	middle
707	médhu	IE   	mead, honey
707	mē̆gh-	IE   	friendly, well-disposed
708-9	meg̑(h)- : meg̑(h)-	IE   	big, much, great, major, mega-
709	1 mei-	IE    4. mei-	to mure, repair, strengthen; pole
710	2 mei-	IE    mei-gu̯-	to change, mutate, exchange
710	3 mei-	IE   	to go, wander
710	4 mei-	IE    1. mei-	to tie, bind
711	5 mei-, mi-neu-	IE   	to lessen, diminish; small, minor
711	6 mei-, mei̯u-, min(u)-, mim(ei)-	mek-	(onomatopoeic: high thin sound)
711-12	7 mēi- : mōi- : mī-	IE   	mild, soft
712-13	meigh-, also meik-	meis-	to flicker, twinkle; mist
713	meig̑h-	IE   	to micturate, urinate
713	mei-gu̯-	IE    mei-k̑-	to (ex)change
714	mei-k̑-, and mei-g̑-?	IE    2. mei-t(h)-	to mix, mash, stir
714	mei-no-	IE   	view, opinion, intention
714	meis-	meigh-	to flicker, twinkle; mist
715	1 meit(h)-		place to stay
715	2 mei-t(h)-	IE    2. mei-	to commute, (ex)change
715-16	mek-	1. mū̆-	(onomatopoeic: to bleat)
716-19	1 mel-, also smel-, melə- : mlē-, mel-d- : ml-ed-, mel-dh-, ml-ēi- : mlī̆-, melə-k- : mlā-k-, mlēu- : mlū̆-	IE   	to mill, grind; fine, ground
719-20	2 mel-	IE   	to deceive
720	3 mel-	IE   	to hesitate
720	4 mel-	IE    melg̑h-	big, strong
720	5 mel-	IE   	limb; to join
720-21	6 mel-, melə-	IE    2. smel-	dark color (black, dirty, etc.)
721	7 mel-		wool, woolen garment
721-22	8 mel-, melə- : mlō-		to appear, come forth
722	1 meldh-	IE   	to utter ritual words (to deity)
722	2 meldh-	IE   	lightning
722-23	mē̆lg̑-, or meləg̑-?	IE    1. melk-	to milk, pluck, wipe off
723	melg̑h-	4. mel-	to swell
723-24	meli-t, genitive mel-nés	IE   	honey
724	1 melk-	mē̆lg̑-	to rub, stroke
724	2 melk-, melg-	IE   	wet
724	mēlo-, smēlo-	IE   	small animal
725	melōdh-, molədh-, molədh-		head; elevation
725	mels-		to taste
725	membh-		to reproach
725	mēmso-, mē(m)s-ro-	IE   	meat, flesh
726	1 men-	IE    2. menth-	to rise, mount, tower
726	2 men-		to press, step on, tread down
726-28	3 men-	IE    5. men-	to think; mind, spiritual activity
728-29	4 men-	IE    meni-	to diminish; small
729	5 men-	IE    3. men-	to stay, remain, stand still
729	mend-, mond-, mn̥d-?	mand-	to feed, suck(le); breast
729-30	mendā	IE   	flaw, defect, mistake
730	mendh-	IE   	to direct attention to; vivacious
730	men(e)gh-, mon(e)gh-, mn̥gh-	IE   	many, copious, abundant, excessive
730-31	men(ə)k-	IE    mag̑-	to knead
731	meng-		to make pretty, beautiful
731	meni-	IE    4. men-	minnow (or other type of fish)
731-32	mēnōt, genitive mēneses, from which mēnes-, mēns-, mēs-, mēn-	IE    3. mē-	month; moon
732	1 menth-, meth-	IE   	to stir, swirl, mix up
732-33	2 menth-	IE    mono-	to chew, eat
733	1 mer-		to plait, weave; rope
733-34	2 mer-	IE   	to flicker, shimmer
734	3 mer-, mor-(u-)		to blacken; dark color, dirt spot
735	4 mer-, merə-	IE    5. mer-	to die
735-37	5 mer-, merə-	IE    1. merg̑-	to rub, wipe; pack, rob
737-38	6 mer-, mer-s-	IE   	to anger, bother, disturb, etc.
738	merədh-, mrādh-		to boil, bubble up
738	mereg̑-	IE   	march, edge, border, frontier
738	meregh-	IE   	to soak, moisten, drizzle
738	1 merg̑-	1. merk-	to wipe off
738	2 merg̑-	merk̑-	to grab, seize
738-39	meri̯o-	IE   	young man/woman
739	merk̑-	IE    2. merg̑-	to grab, seize
739-40	1 merk-, merg̑-, merək-, merəg̑-	2. merk-	to rot
740	2 merk-, mork-	smerd-	vexed, sullen
740-41	mə-r, genitive mə-n-és, mn̥tós	IE   	hand
741	met-	2. am-	to reap, measure
741-43	1 meu-, meu̯ə- : mū̆-	IE   	wet, damp; to wash; dirt, mud, mire
743	2 meu̯-, meu̯ə-	IE    meu-s-	to move, push away
743	mēudh-, məudh-, mūdh-	IE   	to complain, care about, be intent
743-44	1 meug-		to lie in wait, take by surprise; wily
744-45	2 meug-, meuk-	IE   	to slip, slide; meek
745	meuk̑-		to tear, slit, scratch
745	meu-s-	mūs	to steal
745-46	1 mezg-	IE   	to dive, plunge, immerse
746	2 mezg-	IE   	to bind, knit, knot, attach
746	mizdhó-	IE   	fee, pay, meed, reward
746	mō-, mo-lo-	IE   	to strain, trouble oneself
746-47	mōd- : məd-, or mād- : məd-	IE   	to meet, approach
747	modhro-, or madhro-	IE   	blue; madder
747	moiso-s, or maiso-s		sheep; hide, pelt, leatherwork
747	mok̑s, Indo-Iranian *mok̑sū̆	IE   	soon
747	molko-	IE   	pouch, leather bag
747-48	mono-	IE    1. men-	neck; mane
748	mori, mōri	IE   	mere, sea
748-49	mormor-, murmur-	IE   	to murmur (dully)
749	mormo(ro)-		fear, dread, horror
749	moro-	IE   	murrey, mulberry, blackberry
749	moru̯ī̆-	IE   	maur, mire, ant
750	mo[u]-lo- : mū-lo-		root, plant
750	mō[u]-ro- : mū-ro-		crazy, stupid
750	moz-g-o-, moz-g-en-, mos-k-o-	IE   	brain
750	mozg̑ho-s		young cattle
750	mrk-	IE   	more, carrot, edible root
750	mregh-m(n)o-	IE   	brain, skull
750-51	mreg̑hu-, mr̥g̑hu-	IE   	brief, short
751-52	1 mū̆-	IE    6. mei-	(onomatopoeic: to moo, hum, etc.)
752	2 mū-, mus-	IE   	fly, gnat, midge, muscid, mosquito
752	mū̆k-		heap, etc.
752-53	mūs	IE    2. meu̯-	mouse; muscle
753	mut-o-s	IE   	trimmed, stunted, circumcised, mutilated
754	1 nā-	IE   	to help, be useful
754	2 nā-		to be afraid, ashamed
754	nāgu̯h-		sober?
754	nak-		fur, pelt
754	nana, nena	IE   	nana (nursery word: (grand)mother, etc.)
755	nant-	IE   	to dare, risk
755	nas-	IE   	nose
755-56	1 nāus-	IE   	boat, ship
756	2 nāu- : nəu- : nū-	IE   	death; corpse
756-58	1 nĕ, nē, nei	IE   	(negative particle: no, etc.)
758	2 ne, nē	no-	that (enclitic particle)
758	3 ne-, nō-, plural nē̆s-, nō̆s-	IE    1. u̯ē̆-	we
758	1 nebh-		to burst
758	2 nebh-	IE    snā-	wet, damp; clouds; water
758-59	1 ned- : ned-	IE    2. ner-	to net, bind, connect, roll up, twist together
759	2 ned-		to roar, sound, bellow
759	nedo-		reed
760	neg̑h-		to bore, pierce, stab, stick
760	1 nei-, neiə- : nī-		to lead
760	2 nei-, neiə-, nī-	IE   	to be moved, excited; to shine
760	3 nei-, ni-	IE    ni-	in
760	1 neid-		to scold, shame, abuse
761	2 neid- : nid-		to flow; stream
761	neigu̯-	IE   	to wash
761	neik-		to winnow (grain)
761	nēik- : nīk- : nik-	IE   	to rail, fight, assault
762	nek̑-	IE    1. ank-	death, dying, necrosis; corpse
762-63	neku̯-(t-), noku̯-t-s	IE    noku̯-(t-)	night
763-64	1 nem-	IE   	to nim, take, give, count, apportion
764	2 nem-	IE   	to bend
764	nepōt-	IE   	nephew; grandchild
765	1 ner(-t)-, aner-, əner-?	IE   	vital force; man
765-66	2 ner-	IE    3. ner-	below, under
766	3 ner-	nē-tr-	to penetrate; hiding place, hollow
766-67	nes-	IE   	to unite; be concealed
767	ni-, nei-	1. en	in
767	nē-tr-, nə-tr-	IE    (s)nē-	snake, adder
767	1 neu-	IE   	to call, praise
767	2 neu-	IE   	to push (someone); to nod
768	neu-d-	IE   	to grasp, make use of
768	neu-dh-		to lust, desire, yearn for
768	neuk-		dark, unclear, indistinct
768-69	neu-ks-, neu-s-	IE   	to scent, smell, sniff
769	neu̯os, neu̯i̯os	IE    nū̆-	new
769	niz-do-	sed-	nest
769	no-	eno-	that
769	nogu̯-, nogu̯od(h)o-, nogu̯-no-	IE   	nude, naked
770	nogu̯o-, or nagu̯o-	IE   	tree
770	noku̯-(t-)	neku̯-(t-)	night
770	nōmn̥	en(o)mn̥-	name
770	nōt-, nət-	IE   	rump, nates, backside
770	nū̆-	IE    e-neu̯en	now
771	n̥dhos, n̥dheri	IE   	under
771	n̥si-		black, dirty
771	n̥si-s	IE   	sword
772	1 o	1. ē̆	to, with
772	2 ō	IE    2. ē	O (vocative particle)
772	obhel-	IE   	to sweep; multiply
772	obhi-	opi	to, from, around, etc.
772-73	1 od-	IE    2. od-	to smell
773	2 od-	IE    1. od-	hatred, disgust, odium, aversion
773	ō̆d(e)go-, or ō̆d(e)gu̯o-		stem, stalk
773	ōg-, əg-	IE   	to grow; fruit, berry
773	oi-	oi-no-	(pronoun stem)
774	oid-	IE    aid-	to swell; strong
774	oi-no-, oi-u̯o-	IE    3. e-	(demonstrative particle: one, this, etc.)
774	oiu̯ā	2. ē̆i	(vocative particle)
774	ok-	IE    oku̯-	to consider
775	ok̑tō(u)	IE    ōk̑ú-s	eight, octad
775	ōk̑ú-s	IE    2. ak̑-	quick(ly)
775-77	oku̯-	IE    ok-	to see, ogle; eye
777	ol-(e-)	IE   	to destroy
777-78	om-	IE   	raw, coarse, bitter
778	om(e)so-s	IE   	shoulder
778	omə-	amə-	to suffer; firm up, proceed energetically
778	ond-, n̥d-		rock, stone
779	oner-	IE   	dream
779	ong-, better ang-		coal
779	ongu̯-	IE   	to anoint
779	ono-, and onə-, also (o)no-d-		to scold, abuse, revile
780	onogh- : ongh-, nogh-, Celtic n̥gh-, ongh-li-	IE   	claw, (finger/toe) nail
780	1 op-	IE   	to work, perform, operate, bring about
781	2 op-	IE   	to opt, choose, opine, suggest
781	opi	ambhi	at, by
781	ōr-, ər-	IE    5. ar-	to call, speak, talk, orate
781-82	orbho-	IE   	weak, abandoned; slave, orphan
782	oreu̯-, ereu-		entrails
782	org̑hi-, r̥g̑hi-	IE   	testicle
782	org-	3. per-	to hit, kill
782	ort-		vine
782	*ōs, ōs-i-s, ō̆s-en-, os-k-	IE   	ash (tree)
783	ost(h)-, ost(h)i, ost(h)r̥(g), oblique ost(h)-(e)n-	IE    ast(h)-	os, bone
783	oug-, ou-?		cold
783-84	ō(u̯)i̯-om	IE    au̯ei-	egg, ovum
784	óu̯i-s	IE   	ewe, sheep
784-85	1 ōus- : əus-	IE   	os, mouth
785	2 ōus- : əus- : us-	IE   	ear
785-86	ozdo-s	IE   	branch
786	ozgho-		bud, sprout, twig
787	pā- : pə-, and pā-t- : pə-t-	IE    1. pen-	to feed, graze, pasture
787-88	pā̆k̑-, and pā̆g̑-	IE    pn̥ksti-	to repair, strengthen
788	pā̆n-	IE    sp(h)ē-	pane, panel, woven fabric
788	pando-s	1. pet-	crooked
789	pank-, pang-	baˣb-	to swell
789	pap(p)a	IE    pətḗ(r)	papa (nursery word); food, meal
789	pā̆r-	IE   	to show, be visible
789	parīkā		concubine
789	pāsó-s	IE   	a relative
789	pasto-	IE   	firm, fast, solid
790	paus-	IE   	to free, let loose
